"","Month","afectados"
"1",2014-06-01,0
"2",2014-08-01,21
"3",2014-09-01,253
"4",2014-10-01,49
"5",2014-11-01,116
"6",2014-12-01,18
"7",2015-01-01,14
"8",2015-02-01,65
"9",2015-03-01,13
"10",2015-04-01,18
"11",2015-05-01,187
"12",2015-06-01,118
"13",2015-07-01,50
"14",2015-08-01,95
"15",2015-09-01,113
"16",2015-10-01,56
"17",2015-11-01,32
"18",2015-12-01,13
"19",2016-01-01,14
"20",2016-02-01,5
"21",2016-03-01,43
"22",2016-04-01,1
"23",2016-05-01,12
"24",2016-06-01,42
"25",2016-08-01,1
"26",2016-09-01,7
"27",2016-10-01,89
"28",2016-12-01,277
"29",2017-01-01,47
"30",2017-02-01,16
"31",2017-03-01,13
"32",2017-04-01,5
"33",2017-05-01,31
"34",2017-06-01,62
"35",2017-07-01,53
"36",2017-08-01,26
"37",2017-09-01,9
"38",2017-10-01,104
"39",2017-11-01,63
"40",2017-12-01,12
"41",2018-01-01,142
"42",2018-02-01,9
"43",2018-03-01,269
"44",2018-04-01,35
"45",2018-05-01,34
"46",2018-06-01,25
"47",2018-07-01,27
"48",2018-08-01,109
"49",2018-09-01,15
"50",2018-10-01,7
"51",2018-12-01,24
"52",2019-01-01,25
"53",2019-02-01,11
"54",2019-03-01,16
"55",2019-04-01,35
"56",2019-05-01,4
"57",2019-06-01,49
"58",2019-07-01,1
"59",2019-08-01,44
"60",2019-09-01,50
"61",2019-10-01,8
"62",2019-11-01,7
"63",2019-12-01,54
"64",2020-01-01,1
"65",2020-02-01,9
"66",2020-05-01,0
"67",2020-06-01,7
"68",2020-07-01,23
"69",2020-08-01,12
"70",2020-09-01,6
"71",2020-10-01,33
"72",2020-11-01,27
"73",2020-12-01,3
"74",2021-01-01,6
"75",2021-02-01,36
"76",2021-03-01,29
"77",2021-05-01,62
"78",2021-06-01,3
"79",2021-07-01,41
"80",2022-03-01,238
"81",2022-04-01,74
"82",2022-07-01,8
"83",2022-09-01,1
"84",2022-10-01,44
"85",2022-12-01,23
"86",2023-01-01,20
"87",2023-02-01,10
