"","Month","afectados"
"1",2014-06-01,0
"2",2014-08-01,21
"3",2014-09-01,254
"4",2014-10-01,60
"5",2014-11-01,125
"6",2014-12-01,21
"7",2015-01-01,39
"8",2015-02-01,72
"9",2015-03-01,17
"10",2015-04-01,121
"11",2015-05-01,327
"12",2015-06-01,216
"13",2015-07-01,73
"14",2015-08-01,110
"15",2015-09-01,225
"16",2015-10-01,125
"17",2015-11-01,59
"18",2015-12-01,16
"19",2016-01-01,20
"20",2016-02-01,30
"21",2016-03-01,46
"22",2016-04-01,3
"23",2016-05-01,18
"24",2016-06-01,54
"25",2016-07-01,10
"26",2016-08-01,25
"27",2016-09-01,12
"28",2016-10-01,125
"29",2016-11-01,12
"30",2016-12-01,283
"31",2017-01-01,57
"32",2017-02-01,63
"33",2017-03-01,51
"34",2017-04-01,34
"35",2017-05-01,63
"36",2017-06-01,80
"37",2017-07-01,64
"38",2017-08-01,62
"39",2017-09-01,17
"40",2017-10-01,125
"41",2017-11-01,67
"42",2017-12-01,31
"43",2018-01-01,163
"44",2018-02-01,11
"45",2018-03-01,273
"46",2018-04-01,70
"47",2018-05-01,47
"48",2018-06-01,75
"49",2018-07-01,32
"50",2018-08-01,119
"51",2018-09-01,32
"52",2018-10-01,38
"53",2018-11-01,17
"54",2018-12-01,32
"55",2019-01-01,29
"56",2019-02-01,25
"57",2019-03-01,32
"58",2019-04-01,71
"59",2019-05-01,24
"60",2019-06-01,61
"61",2019-07-01,24
"62",2019-08-01,84
"63",2019-09-01,60
"64",2019-10-01,15
"65",2019-11-01,44
"66",2019-12-01,63
"67",2020-01-01,15
"68",2020-02-01,16
"69",2020-03-01,5
"70",2020-05-01,12
"71",2020-06-01,21
"72",2020-07-01,52
"73",2020-08-01,52
"74",2020-09-01,29
"75",2020-10-01,33
"76",2020-11-01,64
"77",2020-12-01,29
"78",2021-01-01,52
"79",2021-02-01,45
"80",2021-03-01,49
"81",2021-04-01,18
"82",2021-05-01,74
"83",2021-06-01,28
"84",2021-07-01,55
"85",2021-08-01,24
"86",2021-09-01,34
"87",2021-10-01,18
"88",2022-02-01,0
"89",2022-03-01,238
"90",2022-04-01,98
"91",2022-05-01,16
"92",2022-06-01,1
"93",2022-07-01,21
"94",2022-08-01,15
"95",2022-09-01,18
"96",2022-10-01,54
"97",2022-11-01,62
"98",2022-12-01,28
"99",2023-01-01,32
"100",2023-02-01,25
"101",2023-03-01,0
