"","mes","vacunados","por"
"1",2016-01-01,409,0.147
"2",2016-02-01,51,0.018
"3",2016-03-01,12,0.004
"4",2016-04-01,6,0.002
"5",2016-05-01,6,0.002
"6",2016-08-01,290,0.104
"7",2016-09-01,4108,1.476
"8",2016-10-01,6374,2.29
"9",2016-11-01,5234,1.881
"10",2016-12-01,36397,13.077
"11",2017-01-01,171435,61.596
"12",2017-02-01,177656,63.831
"13",2017-03-01,187394,67.33
"14",2017-04-01,172902,62.123
"15",2017-05-01,182921,65.723
"16",2017-06-01,188919,67.878
"17",2017-07-01,178067,63.979
"18",2017-08-01,161121,57.89
"19",2017-09-01,134512,48.33
"20",2017-10-01,198205,71.215
"21",2017-11-01,196521,70.609
"22",2017-12-01,175430,63.032
"23",2018-01-01,176626,63.461
"24",2018-02-01,134324,48.262
"25",2018-03-01,193978,69.696
"26",2018-04-01,178748,64.224
"27",2018-05-01,242683,87.195
"28",2018-06-01,216892,77.929
"29",2018-07-01,215429,77.403
"30",2018-08-01,227060,81.582
"31",2018-09-01,214553,77.088
"32",2018-10-01,209848,75.398
"33",2018-11-01,200609,72.078
"34",2018-12-01,224621,80.706
"35",2019-01-01,226961,81.546
"36",2019-02-01,240008,86.234
"37",2019-03-01,225606,81.06
"38",2019-04-01,244963,88.015
"39",2019-05-01,236989,85.15
"40",2019-06-01,206742,74.282
"41",2019-07-01,245398,88.171
"42",2019-08-01,232171,83.418
"43",2019-09-01,240949,86.572
"44",2019-10-01,252114,90.584
"45",2019-11-01,264959,95.199
"46",2019-12-01,196390,70.562
"47",2020-01-01,222152,79.819
"48",2020-02-01,208373,74.868
"49",2020-03-01,179766,64.589
"50",2020-04-01,152027,54.623
"51",2020-05-01,179256,64.406
"52",2020-06-01,210278,75.552
"53",2020-07-01,239058,85.893
"54",2020-08-01,208792,75.018
"55",2020-09-01,212421,76.322
"56",2020-10-01,265736,95.478
"57",2020-11-01,246559,88.588
"58",2020-12-01,257991,92.695
"59",2021-01-01,246685,88.633
"60",2021-02-01,232481,83.53
"61",2021-03-01,256262,92.074
"62",2021-04-01,249061,89.487
"63",2021-05-01,235951,84.777
"64",2021-06-01,243279,87.41
"65",2021-07-01,278182,99.95
"66",2021-08-01,267192,96.001
"67",2021-09-01,259414,93.207
"68",2021-10-01,259532,93.249
"69",2021-11-01,277944,99.865
"70",2021-12-01,269974,97.001
"71",2022-01-01,251157,90.24
"72",2022-02-01,265899,95.537
"73",2022-03-01,247358,88.875
"74",2022-04-01,250177,89.888
"75",2022-05-01,242439,87.108
"76",2022-06-01,183665,65.99
"77",2022-07-01,256280,92.081
"78",2022-08-01,278321,100
"79",2022-09-01,242467,87.118
"80",2022-10-01,254374,91.396
"81",2022-11-01,254834,91.561
"82",2022-12-01,163238,58.651
