"","mes","vacunados","por","mov_mean","vac_cov"
"1","2014-01-01",75146.67,"0.27",75146.67,0.27
"2","2014-02-01",75146.67,"0.27",75146.67,0.27
"3","2014-03-01",75146.67,"0.27",75146.67,0.27
"4","2014-04-01",75146.67,"0.27",75146.67,0.27
"5","2014-05-01",75146.67,"0.27",75146.67,0.27
"6","2014-06-01",75146.67,"0.27",75146.67,0.27
"7","2014-07-01",75146.67,"0.27",75146.67,0.27
"8","2014-08-01",75146.67,"0.27",75146.67,0.27
"9","2014-09-01",75146.67,"0.27",75146.67,0.27
"10","2014-10-01",75146.67,"0.27",75146.67,0.27
"11","2014-11-01",75146.67,"0.27",99267.82,0.357
"12","2014-12-01",75146.67,"0.27",123388.98,0.443
"13","2015-01-01",147510.13,"0.53",147510.13,0.53
"14","2015-02-01",147510.13,"0.53",147510.13,0.53
"15","2015-03-01",147510.13,"0.53",147510.13,0.53
"16","2015-04-01",147510.13,"0.53",147510.13,0.53
"17","2015-05-01",147510.13,"0.53",147510.13,0.53
"18","2015-06-01",147510.13,"0.53",147510.13,0.53
"19","2015-07-01",147510.13,"0.53",147510.13,0.53
"20","2015-08-01",147510.13,"0.53",147510.13,0.53
"21","2015-09-01",147510.13,"0.53",147510.13,0.53
"22","2015-10-01",147510.13,"0.53",147510.13,0.53
"23","2015-11-01",147510.13,"0.53",147646.46,0.53
"24","2015-12-01",147510.13,"0.53",147663.46,0.531
"110","2016-01-01",147919.13,"0.147",147667.46,0.531
"210","2016-02-01",147561.13,"0.018",147533.13,0.53
"310","2016-03-01",147522.13,"0.004",147518.13,0.53
"410","2016-04-01",147516.13,"0.002",147514.13,0.53
"510","2016-05-01",147516.13,"0.002",147512.13,0.53
"611","2016-06-01",147510.13,"0.0",147606.8,0.53
"711","2016-07-01",147510.13,"0.0",148976.13,0.535
"610","2016-08-01",147800.13,"0.104",151100.8,0.543
"710","2016-09-01",151618.13,"1.476",152748.8,0.549
"83","2016-10-01",153884.13,"2.29",163511.8,0.587
"91","2016-11-01",152744.13,"1.881",169362.09,0.609
"101","2016-12-01",183907.13,"13.077",177666.04,0.638
"111","2017-01-01",171435,"61.596",178828.33,0.643
"121","2017-02-01",177656,"63.831",179317.33,0.644
"131","2017-03-01",187394,"67.33",181072.33,0.651
"141","2017-04-01",172902,"62.123",181580.67,0.652
"151","2017-05-01",182921,"65.723",183302.33,0.659
"161","2017-06-01",188919,"67.878",176035.67,0.632
"171","2017-07-01",178067,"63.979",157900,0.567
"181","2017-08-01",161121,"57.89",164612.67,0.591
"191","2017-09-01",134512,"48.33",176412.67,0.634
"201","2017-10-01",198205,"71.215",190052,0.683
"211","2017-11-01",196521,"70.609",182859,0.657
"221","2017-12-01",175430,"63.032",162126.67,0.583
"231","2018-01-01",176626,"63.461",168309.33,0.605
"241","2018-02-01",134324,"48.262",169016.67,0.607
"25","2018-03-01",193978,"69.696",205136.33,0.737
"26","2018-04-01",178748,"64.224",212774.33,0.764
"27","2018-05-01",242683,"87.195",225001.33,0.808
"28","2018-06-01",216892,"77.929",219793.67,0.79
"29","2018-07-01",215429,"77.403",219014,0.787
"30","2018-08-01",227060,"81.582",217153.67,0.78
"31","2018-09-01",214553,"77.088",208336.67,0.749
"32","2018-10-01",209848,"75.398",211692.67,0.761
"33","2018-11-01",200609,"72.078",217397,0.781
"34","2018-12-01",224621,"80.706",230530,0.828
"35","2019-01-01",226961,"81.546",230858.33,0.829
"36","2019-02-01",240008,"86.234",236859,0.851
"37","2019-03-01",225606,"81.06",235852.67,0.847
"38","2019-04-01",244963,"88.015",229564.67,0.825
"39","2019-05-01",236989,"85.15",229709.67,0.825
"40","2019-06-01",206742,"74.282",228103.67,0.82
"41","2019-07-01",245398,"88.171",239506,0.861
"42","2019-08-01",232171,"83.418",241744.67,0.869
"43","2019-09-01",240949,"86.572",252674,0.908
"44","2019-10-01",252114,"90.584",237821,0.854
"45","2019-11-01",264959,"95.199",227833.67,0.819
"46","2019-12-01",196390,"70.562",208971.67,0.751
"47","2020-01-01",222152,"79.819",203430.33,0.731
"48","2020-02-01",208373,"74.868",180055.33,0.647
"49","2020-03-01",179766,"64.589",170349.67,0.612
"50","2020-04-01",152027,"54.623",180520.33,0.649
"51","2020-05-01",179256,"64.406",209530.67,0.753
"52","2020-06-01",210278,"75.552",219376,0.788
"53","2020-07-01",239058,"85.893",220090.33,0.791
"54","2020-08-01",208792,"75.018",228983,0.823
"55","2020-09-01",212421,"76.322",241572,0.868
"56","2020-10-01",265736,"95.478",256762,0.923
"57","2020-11-01",246559,"88.588",250411.67,0.9
"58","2020-12-01",257991,"92.695",245719,0.883
"59","2021-01-01",246685,"88.633",245142.67,0.881
"60","2021-02-01",232481,"83.53",245934.67,0.884
"61","2021-03-01",256262,"92.074",247091.33,0.888
"62","2021-04-01",249061,"89.487",242763.67,0.872
"63","2021-05-01",235951,"84.777",252470.67,0.907
"64","2021-06-01",243279,"87.41",262884.33,0.945
"65","2021-07-01",278182,"99.95",268262.67,0.964
"66","2021-08-01",267192,"96.001",262046,0.942
"67","2021-09-01",259414,"93.207",265630,0.954
"68","2021-10-01",259532,"93.249",269150,0.967
"69","2021-11-01",277944,"99.865",266358.33,0.957
"70","2021-12-01",269974,"97.001",262343.33,0.943
"71","2022-01-01",251157,"90.24",254804.67,0.916
"72","2022-02-01",265899,"95.537",254478,0.914
"73","2022-03-01",247358,"88.875",246658,0.886
"74","2022-04-01",250177,"89.888",225427,0.81
"75","2022-05-01",242439,"87.108",227461.33,0.817
"76","2022-06-01",183665,"65.99",239422,0.86
"77","2022-07-01",256280,"92.081",259022.67,0.931
"78","2022-08-01",278321,"100",258387.33,0.928
"79","2022-09-01",242467,"87.118",250558.33,0.9
"80","2022-10-01",254374,"91.396",224148.67,0.805
"81","2022-11-01",254834,"91.561",250558.33,0.9
"82","2022-12-01",163238,"58.651",224148.67,0.805
