"","time","S","I","PI","V","R","N","month","cases"
"1",1,1417666,1604,80,579046,1604,2e+06,"2014-01-01",25
"2",2,1501441.90102725,1763.25396464438,491.885720701131,490795.72866831,5498.34791690051,1999991.11729781,"2014-02-01",34
"3",3,1564691.14523998,2249.67381078191,918.576514215089,422229.463765409,9878.32969050356,1999967.18902089,"2014-03-01",35
"4",4,1610646.74312511,3206.53627444565,1457.205417891,368956.217535261,15644.6930513398,1999911.39540405,"2014-04-01",14
"5",5,1640861.07842875,4938.95929731908,2246.0159842662,327563.792670477,24168.4926544896,1999778.3390353,"2014-05-01",13
"6",6,1654868.65262397,7962.65551924791,3505.56321047424,295399.469186087,37708.5229561286,1999444.8634959,"2014-06-01",12
"7",7,1649771.08761019,12975.8192363651,5579.09487426599,270397.825481947,59855.4503524297,1998579.2775552,"2014-07-01",13
"8",8,1620472.25683095,20486.5169068225,8921.57145763642,250942.661449079,95526.3471100702,1996349.35375456,"2014-08-01",21
"9",9,1562312.02764257,29773.9054787721,13910.4980199874,235752.200205427,149269.16270792,1991017.79405467,"2014-09-01",253
"10",10,1477338.27091418,37804.4596682043,20381.2105767275,223785.576547468,220791.054812715,1980100.5725193,"2014-10-01",49
"11",11,1379701.97761025,40529.3354221384,27218.3829289495,214195.053263733,300577.677240073,1962222.42646515,"2014-11-01",116
"12",12,1279174.20083664,36281.1655585118,32707.3591044148,219172.255480248,372352.360861086,1939687.34184091,"2014-12-01",18
"13",13,1197598.92822474,27615.6045985004,35538.4216777047,234994.575730423,422120.551425099,1917868.08165647,"2015-01-01",14
"14",14,1141541.21712018,18645.8969040652,35574.6262104623,259206.452561993,445969.616928471,1900937.80972517,"2015-02-01",65
"15",15,1118349.09681892,11803.1996711406,33562.5112786738,277458.21253725,448484.121448199,1889657.14175418,"2015-03-01",13
"16",16,1116462.4798743,7370.69969911086,30456.6694385012,291281.507653059,437105.200894718,1882676.55755969,"2015-04-01",18
"17",17,1127016.8182015,4685.03059465118,26971.4173879411,301803.228426058,417965.012574382,1878441.50718454,"2015-05-01",187
